Timestamp,Do you agree to participate in this survey?,1. Your Location,2. Your Region/State,3. What is your age group?,4. What is your approximate monthly household income?(MMK),5. What is the highest level of education you have completed?,6. How often do you use single-use plastic items in your weekly life?,7.Which of the following single-use plastic items do you usually use in your weekly life?,8. Where do you usually get your single-use plastic from?,9. How many plastic bags do you usually get from shops or markets in your weekly life?,"10. When buying street food or market food, how often does it come in plastic?","11. Compared to what you see outside (litter, packaging, shops), do you think you personally use:",12. What do you often do with your plastic waste after you use the product?,13. What do you think happens to the plastic you throw in the bin in your region?,14. How aware are you that plastic production and disposal contributes to climate change?,15. Do you believe current plastic usage in Myanmar is contributing to climate change?,16. When do you think the effects of today’s plastic usage on climate change will become noticeable?,17. Would you support reducing single-use plastics or replacing them with alternatives?,18. Do you think that plastic waste is burned?,19. What percentage of plastic waste do you think is burned?,20. Do you think that plastic waste usually ends up in a landfill site?,21. What percentage of plastic waste ends up in a landfill or dumping ground?,22. How do you think plastic waste in landfills and open burning affects climate change?
2/9/2026 21:44:21,Yes,Urban,Yangon,18-25,"300,000-600,000",University/College,3-5,Plastic bags,Supermarkets,1-2,Sometimes,About the same,"Throw in bin, Reuse",Burned,Somewhat aware,Yes,Within 1-2 years,Neutral,Yes,About half (26%-50%),Yes,51%-75%,Pollutes soil/water
2/9/2026 21:47:31,Yes,Urban,Mandalay,26-35,"Less than 300,000",High school,6-10,Plastic bags,"Supermarkets, Local markets, Street Vendors",6-10,Always,A little more,Recycle,I don’t know,Not aware,Not Sure,Within 3-5 years,Strongly support,Yes,Almost all of it (76%-100%),Yes,Less than 25%,Not sure
2/9/2026 22:25:21,Yes,Semi-urban,Mandalay,26-35,"600,001-1,000,000",University/College,More than 10,"Plastic bags, Bottled water","Local markets, Coffee/tea shops",More than 10,Always,Much more plastic than others,"Throw in bin, Recycle, Reuse, Burn",Ends up in landfills,Somewhat aware,Yes,Already visible now,Strongly support,Yes,About half (26%-50%),Yes,51%-75%,Increases the Earth’s temperature
2/9/2026 22:31:27,Yes,Semi-urban,Shan,36-50,No income,University/College,1-2,Plastic bags,Local markets,1-2,Sometimes,Less than others,Recycle,I don’t know,Very aware,Yes,More than 10 years,Strongly support,No,About half (26%-50%),Not sure,Not sure,Pollutes soil/water
2/9/2026 22:44:48,Yes,Urban,Sagaing,36-50,Prefer not to say,Postgraduate,3-5,"Plastic bags, Bottled water, Food sachets","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",3-5,Sometimes,Less than others,Reuse,Ends up in landfills,Somewhat aware,Yes,Already visible now,Support,No,About half (26%-50%),Yes,Not sure,Pollutes soil/water
2/9/2026 22:56:58,Yes,Semi-urban,Yangon,18-25,No income,University/College,More than 10,"Plastic bags, Bottled water, Plastic straws","Supermarkets, Local markets, Street Vendors, Food Delivery",More than 10,Always,Much more plastic than others,Throw in bin,I don’t know,Very aware,Yes,Already visible now,Strongly support,No,About half (26%-50%),Not sure,Not sure,Increases the Earth’s temperature
2/9/2026 23:04:03,Yes,Urban,Yangon,36-50,"Less than 300,000",University/College,3-5,"Plastic bags, Bottled water, Plastic containers","Street Vendors, Coffee/tea shops",3-5,Always,A little more,Throw in bin,I don’t know,Very aware,Not Sure,Already visible now,Support,Yes,More than half (51%-75%),Yes,Not sure,Pollutes soil/water
2/9/2026 23:37:38,Yes,Rural,Bago,18-25,Prefer not to say,High school,1-2,Plastic bags,Street Vendors,3-5,Always,Less than others,Reuse,Ends up in landfills,Very aware,Yes,Already visible now,Neutral,Yes,About half (26%-50%),Yes,More than 75%,Release GHG
2/9/2026 23:42:10,Yes,Urban,Rakhine,26-35,"Less than 300,000",University/College,1-2,Plastic bags,Local markets,1-2,Always,Much more plastic than others,Throw in bin,Ends up in landfills,Very aware,No,Already visible now,Strongly support,No,Less than half (1%-25%),Yes,More than 75%,Increases the Earth’s temperature
2/9/2026 23:43:43,Yes,Urban,Yangon,36-50,Prefer not to say,University/College,1-2,"Plastic bags, Bottled water, Plastic containers","Supermarkets, Street Vendors, Food Delivery",6-10,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,No,More than half (51%-75%),Not sure,Less than 25%,Increases the Earth’s temperature
